edition_date,periodId,team,team_source,rank,points,confederation
2026-01-19,20260119,Hungary,Hungary,41,1496,
2026-01-19,20260119,Sweden,Sweden,42,1487,UEFA
2026-01-19,20260119,Czech Republic,Czechia,43,1487,UEFA
2026-01-19,20260119,Slovakia,Slovakia,44,1486,
2026-01-19,20260119,Cameroon,Cameroon,45,1482,
2026-01-19,20260119,Greece,Greece,46,1480,
2026-01-19,20260119,Tunisia,Tunisia,47,1479,CAF
2026-01-19,20260119,DR Congo,DR Congo,48,1468,CAF
2026-01-19,20260119,Romania,Romania,49,1466,
2026-01-19,20260119,Venezuela,Venezuela,50,1465,
2026-01-19,20260119,Costa Rica,Costa Rica,51,1464,
2026-01-19,20260119,Uzbekistan,Uzbekistan,52,1462,AFC
2026-01-19,20260119,Peru,Peru,53,1460,
2026-01-19,20260119,Mali,Mali,54,1458,
2026-01-19,20260119,Chile,Chile,55,1458,
2026-01-19,20260119,Qatar,Qatar,56,1455,AFC
2026-01-19,20260119,Slovenia,Slovenia,57,1447,
2026-01-19,20260119,Iraq,Iraq,58,1437,AFC
2026-01-19,20260119,Ireland,Ireland,59,1436,
2026-01-19,20260119,South Africa,South Africa,60,1433,CAF
2026-01-19,20260119,Saudi Arabia,Saudi Arabia,61,1429,AFC
2026-01-19,20260119,Burkina Faso,Burkina Faso,62,1413,
2026-01-19,20260119,Albania,Albania,63,1401,
2026-01-19,20260119,Jordan,Jordan,64,1389,AFC
2026-01-19,20260119,Honduras,Honduras,65,1380,
2026-01-19,20260119,North Macedonia,North Macedonia,66,1379,
2026-01-19,20260119,Cape Verde,Cape Verde,67,1370,CAF
2026-01-19,20260119,UAE,UAE,68,1370,
2026-01-19,20260119,Northern Ireland,Northern Ireland,69,1366,
2026-01-19,20260119,Jamaica,Jamaica,70,1362,
2026-01-19,20260119,Bosnia and Herzegovina,Bosnia and Herzegovina,71,1362,UEFA
2026-01-19,20260119,Ghana,Ghana,72,1351,CAF
2026-01-19,20260119,Georgia,Georgia,73,1348,
2026-01-19,20260119,Iceland,Iceland,74,1345,
2026-01-19,20260119,Finland,Finland,75,1342,
2026-01-19,20260119,Bolivia,Bolivia,76,1331,
2026-01-19,20260119,Israel,Israel,77,1328,
2026-01-19,20260119,Oman,Oman,78,1313,
2026-01-19,20260119,Kosovo,Kosovo,79,1309,
2026-01-19,20260119,Guinea,Guinea,80,1307,
2026-01-19,20260119,Curaçao,Curacao,81,1303,CONCACAF
2026-01-19,20260119,Montenegro,Montenegro,82,1297,
2026-01-19,20260119,Haiti,Haiti,83,1294,CONCACAF
2026-01-19,20260119,Syria,Syria,84,1283,
2026-01-19,20260119,New Zealand,New Zealand,85,1279,OFC
2026-01-19,20260119,Gabon,Gabon,86,1276,
2026-01-19,20260119,Bulgaria,Bulgaria,87,1272,
2026-01-19,20260119,Uganda,Uganda,88,1264,
2026-01-19,20260119,Angola,Angola,89,1263,
2026-01-19,20260119,Bahrain,Bahrain,90,1259,
2026-01-19,20260119,Zambia,Zambia,91,1257,
2026-01-19,20260119,Benin,Benin,92,1250,
2026-01-19,20260119,China,China,93,1249,
2026-01-19,20260119,Guatemala,Guatemala,94,1246,
2026-01-19,20260119,Palestine,Palestine,95,1245,
2026-01-19,20260119,Thailand,Thailand,96,1243,
2026-01-19,20260119,Trinidad and Tobago,Trinidad and Tobago,97,1227,
2026-01-19,20260119,Belarus,Belarus,98,1227,
2026-01-19,20260119,El Salvador,El Salvador,99,1227,
2026-01-19,20260119,Tajikistan,Tajikistan,100,1225,
2026-01-19,20260119,Mozambique,Mozambique,101,1224,
2026-01-19,20260119,Luxembourg,Luxembourg,102,1219,
2026-01-19,20260119,Kyrgyzstan,Kyrgyzstan,103,1201,
2026-01-19,20260119,Madagascar,Madagascar,104,1199,
2026-01-19,20260119,Armenia,Armenia,105,1196,
2026-01-19,20260119,Comoros,Comoros,106,1193,
2026-01-19,20260119,Equatorial Guinea,Equatorial Guinea,107,1190,
2026-01-19,20260119,Vietnam,Vietnam,108,1190,
2026-01-19,20260119,Lebanon,Lebanon,109,1188,
2026-01-19,20260119,Tanzania,Tanzania,110,1186,
2026-01-19,20260119,Niger,Niger,111,1185,
2026-01-19,20260119,Libya,Libya,112,1183,
2026-01-19,20260119,Kenya,Kenya,113,1180,
2026-01-19,20260119,Kazakhstan,Kazakhstan,114,1173,
2026-01-19,20260119,Mauritania,Mauritania,115,1171,
2026-01-19,20260119,Gambia,Gambia,116,1162,
2026-01-19,20260119,Sudan,Sudan,117,1157,
2026-01-19,20260119,Namibia,Namibia,118,1153,
2026-01-19,20260119,North Korea,North Korea,119,1151,
2026-01-19,20260119,Sierra Leone,Sierra Leone,120,1149,
2026-01-19,20260119,Malaysia,Malaysia,121,1146,
2026-01-19,20260119,Indonesia,Indonesia,122,1145,
2026-01-19,20260119,Suriname,Suriname,123,1141,
2026-01-19,20260119,Togo,Togo,124,1140,
2026-01-19,20260119,Faroe Islands,Faroe Islands,125,1135,
2026-01-19,20260119,Malawi,Malawi,126,1134,
2026-01-19,20260119,Azerbaijan,Azerbaijan,127,1133,
2026-01-19,20260119,Cyprus,Cyprus,128,1129,
2026-01-19,20260119,Estonia,Estonia,129,1123,
2026-01-19,20260119,Rwanda,Rwanda,130,1118,
2026-01-19,20260119,Nicaragua,Nicaragua,131,1117,
2026-01-19,20260119,Zimbabwe,Zimbabwe,132,1114,
2026-01-19,20260119,Guinea-Bissau,Guinea-Bissau,133,1108,
2026-01-19,20260119,Congo,Congo,134,1106,
2026-01-19,20260119,Kuwait,Kuwait,135,1105,
2026-01-19,20260119,Philippines,Philippines,136,1091,
2026-01-19,20260119,Turkmenistan,Turkmenistan,137,1088,
2026-01-19,20260119,Central African Republic,Central African Republic,138,1084,
2026-01-19,20260119,Latvia,Latvia,139,1083,
2026-01-19,20260119,Liberia,Liberia,140,1081,
2026-01-19,20260119,India,India,141,1080,
2026-01-19,20260119,Dominican Republic,Dominican Republic,142,1077,
2026-01-19,20260119,Lesotho,Lesotho,143,1066,
2026-01-19,20260119,Botswana,Botswana,144,1062,
2026-01-19,20260119,Burundi,Burundi,145,1060,
2026-01-19,20260119,Lithuania,Lithuania,146,1056,
2026-01-19,20260119,Ethiopia,Ethiopia,147,1055,
2026-01-19,20260119,Singapore,Singapore,148,1050,
2026-01-19,20260119,Yemen,Yemen,149,1049,
2026-01-19,20260119,New Caledonia,New Caledonia,150,1043,
2026-01-19,20260119,Guyana,Guyana,151,1042,
2026-01-19,20260119,Solomon Islands,Solomon Islands,152,1040,
2026-01-19,20260119,Hong Kong,Hong Kong,153,1038,
2026-01-19,20260119,St. Kitts and Nevis,St. Kitts and Nevis,154,1035,
2026-01-19,20260119,Fiji,Fiji,155,1030,
2026-01-19,20260119,Puerto Rico,Puerto Rico,156,1020,
2026-01-19,20260119,Tahiti,Tahiti,157,1019,
2026-01-19,20260119,Moldova,Moldova,158,1013,
2026-01-19,20260119,Eswatini,Eswatini,159,1011,
2026-01-19,20260119,Vanuatu,Vanuatu,160,997,
2026-01-19,20260119,Malta,Malta,161,997,
2026-01-19,20260119,Afghanistan,Afghanistan,162,991,
2026-01-19,20260119,Myanmar,Myanmar,163,991,
2026-01-19,20260119,Grenada,Grenada,164,990,
2026-01-19,20260119,Antigua and Barbuda,Antigua and Barbuda,165,987,
2026-01-19,20260119,Cuba,Cuba,166,980,
2026-01-19,20260119,Saint Lucia,Saint Lucia,167,980,
2026-01-19,20260119,South Sudan,South Sudan,168,978,
2026-01-19,20260119,Bermuda,Bermuda,169,977,
2026-01-19,20260119,Papua New Guinea,Papua New Guinea,170,975,
2026-01-19,20260119,Saint Vincent and The Grenadines,Saint Vincent and The Grenadines,171,964,
2026-01-19,20260119,Andorra,Andorra,172,949,
2026-01-19,20260119,Maldives,Maldives,173,945,
2026-01-19,20260119,Chinese Taipei,Chinese Taipei,174,938,
2026-01-19,20260119,Montserrat,Montserrat,175,917,
2026-01-19,20260119,Mauritius,Mauritius,176,916,
2026-01-19,20260119,Chad,Chad,177,915,
2026-01-19,20260119,Barbados,Barbados,178,914,
2026-01-19,20260119,Cambodia,Cambodia,179,912,
2026-01-19,20260119,Bangladesh,Bangladesh,180,911,
2026-01-19,20260119,Belize,Belize,181,911,
2026-01-19,20260119,Nepal,Nepal,182,903,
2026-01-19,20260119,Dominica,Dominica,183,901,
2026-01-19,20260119,American Samoa,American Samoa,184,883,
2026-01-19,20260119,Mongolia,Mongolia,185,880,
2026-01-19,20260119,Cook Islands,Cook Islands,186,878,
2026-01-19,20260119,Samoa,Samoa,187,876,
2026-01-19,20260119,Brunei,Brunei,188,876,
2026-01-19,20260119,Sao Tome and Principe,Sao Tome and Principe,189,872,
2026-01-19,20260119,Laos,Laos,190,871,
2026-01-19,20260119,Aruba,Aruba,191,868,
2026-01-19,20260119,Bhutan,Bhutan,192,868,
2026-01-19,20260119,Macao,Macao,193,865,
2026-01-19,20260119,Sri Lanka,Sri Lanka,194,857,
2026-01-19,20260119,Cayman Islands,Cayman Islands,195,852,
2026-01-19,20260119,Djibouti,Djibouti,196,847,
2026-01-19,20260119,Tonga,Tonga,197,836,
2026-01-19,20260119,Timor-Leste,Timor-Leste,198,836,
2026-01-19,20260119,Pakistan,Pakistan,199,833,
2026-01-19,20260119,Somalia,Somalia,200,829,
2026-01-19,20260119,Guam,Guam,201,823,
2026-01-19,20260119,Gibraltar,Gibraltar,202,818,
2026-01-19,20260119,Seychelles,Seychelles,203,805,
2026-01-19,20260119,Turks and Caicos Islands,Turks and Caicos Islands,204,804,
2026-01-19,20260119,Liechtenstein,Liechtenstein,205,800,
2026-01-19,20260119,Bahamas,Bahamas,206,797,
2026-01-19,20260119,U.S. Virgin Islands,U.S. Virgin Islands,207,777,
2026-01-19,20260119,British Virgin Islands,British Virgin Islands,208,777,
2026-01-19,20260119,Anguilla,Anguilla,209,760,
2026-01-19,20260119,San Marino,San Marino,210,726,
2025-11-20,20251120,Spain,Spain,1,1877,UEFA
2025-11-20,20251120,Argentina,Argentina,2,1873,CONMEBOL
2025-11-20,20251120,France,France,3,1870,UEFA
2025-11-20,20251120,England,England,4,1834,UEFA
2025-11-20,20251120,Brazil,Brazil,5,1760,CONMEBOL
2025-11-20,20251120,Portugal,Portugal,6,1760,UEFA
2025-11-20,20251120,Netherlands,Netherlands,7,1756,UEFA
2025-11-20,20251120,Belgium,Belgium,8,1731,UEFA
2025-11-20,20251120,Germany,Germany,9,1724,UEFA
2025-11-20,20251120,Croatia,Croatia,10,1717,UEFA
2025-11-20,20251120,Morocco,Morocco,11,1713,CAF
2025-11-20,20251120,Italy,Italy,12,1702,
2025-11-20,20251120,Colombia,Colombia,13,1701,CONMEBOL
2025-11-20,20251120,United States,USA,14,1682,CONCACAF
2025-11-20,20251120,Mexico,Mexico,15,1676,CONCACAF
2025-11-20,20251120,Uruguay,Uruguay,16,1673,CONMEBOL
2025-11-20,20251120,Switzerland,Switzerland,17,1655,UEFA
2025-11-20,20251120,Japan,Japan,18,1650,AFC
2025-11-20,20251120,Senegal,Senegal,19,1648,CAF
2025-11-20,20251120,Iran,Iran,20,1617,AFC
2025-11-20,20251120,Denmark,Denmark,21,1617,
2025-11-20,20251120,South Korea,South Korea,22,1599,AFC
